type,from,to,properties_json
HAS_SCHOOL,DLU,SAI,{}
OFFERS_PROGRAM,SAI,MSCAI,{}
HAS_LEVEL,MSCAI,EQF7,{}
PREREQUISITE_OF,CON-VECTORS,CON-MATRICES,{}
PREREQUISITE_OF,CON-MATRICES,CON-EIGENVALUES,{}
PREREQUISITE_OF,CON-PROBABILITY-DISTRIBUTIONS,CON-BAYES-THEOREM,{}
PREREQUISITE_OF,CON-GRADIENT-DESCENT,CON-BACKPROPAGATION,{}
PREREQUISITE_OF,CON-PERCEPTRON,CON-BACKPROPAGATION,{}
PREREQUISITE_OF,CON-ATTENTION,CON-TRANSFORMER,{}
PREREQUISITE_OF,CON-TRANSFORMER,CON-LANGUAGE-MODELING,{}
PREREQUISITE_OF,CON-EMBEDDING,CON-VECTOR-SEARCH,{}
PREREQUISITE_OF,CON-COSINE-SIMILARITY,CON-VECTOR-SEARCH,{}
PREREQUISITE_OF,CON-CHUNKING,CON-RETRIEVAL-AUGMENTED-GENERATION,{}
PREREQUISITE_OF,CON-VECTOR-SEARCH,CON-RETRIEVAL-AUGMENTED-GENERATION,{}
PREREQUISITE_OF,CON-RETRIEVAL-AUGMENTED-GENERATION,CON-AI-AGENTS,{}
PREREQUISITE_OF,CON-PROMPT-ENGINEERING,CON-AI-AGENTS,{}
PREREQUISITE_OF,CON-TOOL-CALLING,CON-AI-AGENTS,{}
PREREQUISITE_OF,CON-LLM-EVALUATION,CON-LLMOPS,{}
PREREQUISITE_OF,CON-MODEL-REGISTRY,CON-MLOPS,{}
PREREQUISITE_OF,CON-CI-CD-FOR-ML,CON-MLOPS,{}
HAS_COURSE,MSCAI,AI501,"{""sequence"": 1}"
DEFINES_CLO,AI501,AI501-CLO1,{}
DEVELOPS,AI501-CLO1,SK-LINEAR-ALGEBRA,"{""weight"": 0.33}"
DEVELOPS,AI501-CLO1,SK-PROBABILITY-STATISTICS,"{""weight"": 0.33}"
DEVELOPS,AI501-CLO1,SK-OPTIMIZATION,"{""weight"": 0.33}"
DEFINES_CLO,AI501,AI501-CLO2,{}
DEVELOPS,AI501-CLO2,SK-LINEAR-ALGEBRA,"{""weight"": 0.33}"
DEVELOPS,AI501-CLO2,SK-PROBABILITY-STATISTICS,"{""weight"": 0.33}"
DEFINES_CLO,AI501,AI501-CLO3,{}
DEVELOPS,AI501-CLO3,SK-LINEAR-ALGEBRA,"{""weight"": 0.33}"
DEVELOPS,AI501-CLO3,SK-PROBABILITY-STATISTICS,"{""weight"": 0.33}"
DEVELOPS,AI501-CLO3,SK-OPTIMIZATION,"{""weight"": 0.33}"
DEFINES_CLO,AI501,AI501-CLO4,{}
DEVELOPS,AI501-CLO4,SK-LINEAR-ALGEBRA,"{""weight"": 0.33}"
DEVELOPS,AI501-CLO4,SK-PROBABILITY-STATISTICS,"{""weight"": 0.33}"
HAS_MODULE,AI501,AI501-M1,"{""sequence"": 1}"
DEFINES_MLO,AI501-M1,AI501-M1-MLO1,{}
CONTRIBUTES_TO,AI501-M1-MLO1,AI501-CLO1,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI501-M1,AI501-M1-MLO2,{}
CONTRIBUTES_TO,AI501-M1-MLO2,AI501-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI501-M1,AI501-M1-MLO3,{}
CONTRIBUTES_TO,AI501-M1-MLO3,AI501-CLO3,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI501-M1,AI501-M1-L1,"{""sequence"": 1}"
ADDRESSES,AI501-M1-L1,AI501-M1-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI501-M1,AI501-M1-L2,"{""sequence"": 2}"
ADDRESSES,AI501-M1-L2,AI501-M1-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI501-A1,AI501-A1-RUBRIC,{}
HAS_CRITERION,AI501-A1-RUBRIC,AI501-A1-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI501-A1-RUBRIC-C1,AI501-A1-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI501-A1-RUBRIC-C1,AI501-A1-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI501-A1-RUBRIC-C1,AI501-A1-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI501-A1-RUBRIC,AI501-A1-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI501-A1-RUBRIC-C2,AI501-A1-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI501-A1-RUBRIC-C2,AI501-A1-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI501-A1-RUBRIC-C2,AI501-A1-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI501-A1-RUBRIC,AI501-A1-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI501-A1-RUBRIC-C3,AI501-A1-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI501-A1-RUBRIC-C3,AI501-A1-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI501-A1-RUBRIC-C3,AI501-A1-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI501-M1-MLO1,AI501-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI501-M1-MLO2,AI501-A1,"{""weight"": 0.33}"
ASSESSED_BY,AI501-M1-MLO3,AI501-A1,"{""weight"": 0.33}"
HAS_MODULE,AI501,AI501-M2,"{""sequence"": 2}"
DEFINES_MLO,AI501-M2,AI501-M2-MLO1,{}
CONTRIBUTES_TO,AI501-M2-MLO1,AI501-CLO2,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI501-M2,AI501-M2-MLO2,{}
CONTRIBUTES_TO,AI501-M2-MLO2,AI501-CLO3,"{""alignmentStrength"": 0.75}"
DEFINES_MLO,AI501-M2,AI501-M2-MLO3,{}
CONTRIBUTES_TO,AI501-M2-MLO3,AI501-CLO4,"{""alignmentStrength"": 0.75}"
HAS_LESSON,AI501-M2,AI501-M2-L1,"{""sequence"": 1}"
ADDRESSES,AI501-M2-L1,AI501-M2-MLO1,"{""coverage"": 0.8}"
HAS_LESSON,AI501-M2,AI501-M2-L2,"{""sequence"": 2}"
ADDRESSES,AI501-M2-L2,AI501-M2-MLO2,"{""coverage"": 0.8}"
USES_RUBRIC,AI501-A2,AI501-A2-RUBRIC,{}
HAS_CRITERION,AI501-A2-RUBRIC,AI501-A2-RUBRIC-C1,{}
HAS_PERFORMANCE_LEVEL,AI501-A2-RUBRIC-C1,AI501-A2-RUBRIC-C1-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI501-A2-RUBRIC-C1,AI501-A2-RUBRIC-C1-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI501-A2-RUBRIC-C1,AI501-A2-RUBRIC-C1-ADVANCED,{}
HAS_CRITERION,AI501-A2-RUBRIC,AI501-A2-RUBRIC-C2,{}
HAS_PERFORMANCE_LEVEL,AI501-A2-RUBRIC-C2,AI501-A2-RUBRIC-C2-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI501-A2-RUBRIC-C2,AI501-A2-RUBRIC-C2-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI501-A2-RUBRIC-C2,AI501-A2-RUBRIC-C2-ADVANCED,{}
HAS_CRITERION,AI501-A2-RUBRIC,AI501-A2-RUBRIC-C3,{}
HAS_PERFORMANCE_LEVEL,AI501-A2-RUBRIC-C3,AI501-A2-RUBRIC-C3-DEVELOPING,{}
HAS_PERFORMANCE_LEVEL,AI501-A2-RUBRIC-C3,AI501-A2-RUBRIC-C3-PROFICIENT,{}
HAS_PERFORMANCE_LEVEL,AI501-A2-RUBRIC-C3,AI501-A2-RUBRIC-C3-ADVANCED,{}
ASSESSED_BY,AI501-M2-MLO1,AI501-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI501-M2-MLO2,AI501-A2,"{""weight"": 0.33}"
ASSESSED_BY,AI501-M2-MLO3,AI501-A2,"{""weight"": 0.33}"
HAS_MODULE,AI501,AI501-M3,"{""sequence"": 3}"
DEFINES_MLO,AI501-M3,AI501-M3-MLO1,{}
