id,labels,uri,properties_json
DLU,Institution,https://dlu.example.org/ekg/institution/dlu,"{""name"": ""Digital Learning University"", ""country"": ""INT"", ""status"": ""demo"", ""version"": ""1.0""}"
SAI,School,https://dlu.example.org/ekg/school/sai,"{""name"": ""School of Artificial Intelligence"", ""status"": ""active""}"
MSCAI,Program,https://dlu.example.org/ekg/program/mscai,"{""code"": ""MSc-AI"", ""title"": ""MSc Artificial Intelligence"", ""ects"": 120, ""eqfLevel"": 7, ""version"": ""1.0"", ""status"": ""demo""}"
EQF7,QualificationLevel,https://dlu.example.org/ekg/qualificationlevel/eqf7,"{""framework"": ""EQF"", ""level"": 7, ""descriptor"": ""Highly specialised knowledge; specialised problem-solving skills; manage and transform complex contexts""}"
FRAMEWORK-CASE,FrameworkConcept,https://dlu.example.org/ekg/frameworkconcept/framework-case,"{""framework"": ""CASE"", ""externalUri"": """", ""externalId"": """", ""prefLabel"": ""1EdTech CASE 1.1"", ""version"": ""current-at-blueprint""}"
FRAMEWORK-ESCO,FrameworkConcept,https://dlu.example.org/ekg/frameworkconcept/framework-esco,"{""framework"": ""ESCO"", ""externalUri"": """", ""externalId"": """", ""prefLabel"": ""ESCO v1.2.1"", ""version"": ""current-at-blueprint""}"
FRAMEWORK-SFIA,FrameworkConcept,https://dlu.example.org/ekg/frameworkconcept/framework-sfia,"{""framework"": ""SFIA"", ""externalUri"": """", ""externalId"": """", ""prefLabel"": ""SFIA levels 1-7"", ""version"": ""current-at-blueprint""}"
FRAMEWORK-DigComp,FrameworkConcept,https://dlu.example.org/ekg/frameworkconcept/framework-digcomp,"{""framework"": ""DigComp"", ""externalUri"": """", ""externalId"": """", ""prefLabel"": ""DigComp 2.2"", ""version"": ""current-at-blueprint""}"
FRAMEWORK-Bloom,FrameworkConcept,https://dlu.example.org/ekg/frameworkconcept/framework-bloom,"{""framework"": ""Bloom"", ""externalUri"": """", ""externalId"": """", ""prefLabel"": ""Revised Bloom Taxonomy"", ""version"": ""current-at-blueprint""}"
FRAMEWORK-EQF,FrameworkConcept,https://dlu.example.org/ekg/frameworkconcept/framework-eqf,"{""framework"": ""EQF"", ""externalUri"": """", ""externalId"": """", ""prefLabel"": ""European Qualifications Framework"", ""version"": ""current-at-blueprint""}"
SK-AI-GOVERNANCE,Skill,https://dlu.example.org/ekg/skill/sk-ai-governance,"{""prefLabel"": ""AI Governance"", ""description"": ""Canonical DLU skill: AI Governance"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-AI-OBSERVABILITY,Skill,https://dlu.example.org/ekg/skill/sk-ai-observability,"{""prefLabel"": ""AI Observability"", ""description"": ""Canonical DLU skill: AI Observability"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-AI-RESEARCH-METHODS,Skill,https://dlu.example.org/ekg/skill/sk-ai-research-methods,"{""prefLabel"": ""AI Research Methods"", ""description"": ""Canonical DLU skill: AI Research Methods"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-AI-RISK-MANAGEMENT,Skill,https://dlu.example.org/ekg/skill/sk-ai-risk-management,"{""prefLabel"": ""AI Risk Management"", ""description"": ""Canonical DLU skill: AI Risk Management"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-AI-SECURITY,Skill,https://dlu.example.org/ekg/skill/sk-ai-security,"{""prefLabel"": ""AI Security"", ""description"": ""Canonical DLU skill: AI Security"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-AI-SOLUTION-ARCHITECTURE,Skill,https://dlu.example.org/ekg/skill/sk-ai-solution-architecture,"{""prefLabel"": ""AI Solution Architecture"", ""description"": ""Canonical DLU skill: AI Solution Architecture"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-AGENTIC-AI,Skill,https://dlu.example.org/ekg/skill/sk-agentic-ai,"{""prefLabel"": ""Agentic AI"", ""description"": ""Canonical DLU skill: Agentic AI"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-COMPUTER-VISION,Skill,https://dlu.example.org/ekg/skill/sk-computer-vision,"{""prefLabel"": ""Computer Vision"", ""description"": ""Canonical DLU skill: Computer Vision"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
SK-DEEP-LEARNING,Skill,https://dlu.example.org/ekg/skill/sk-deep-learning,"{""prefLabel"": ""Deep Learning"", ""description"": ""Canonical DLU skill: Deep Learning"", ""skillType"": ""technical-or-professional"", ""proficiencyScale"": ""0.0-1.0""}"
